name,url,cr,type,size,ac,hp,speed,align,legendary,source,str,dex,con,int,wis,cha,resistance,stamina
ancient-brass-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-brass-dragon,20.0,dragon,Gargantuan,20,297,fly,chaotic good,Legendary,Monster Manual (SRD),27.0,10.0,25.0,16.0,15.0,19.0,Piercing,1
ancient-bronze-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-bronze-dragon,22.0,dragon,Gargantuan,22,444,"fly, swim",lawful good,Legendary,Monster Manual (SRD),29.0,10.0,27.0,18.0,17.0,21.0,Piercing,1
ancient-copper-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-copper-dragon,21.0,dragon,Gargantuan,21,350,fly,chaotic good,Legendary,Monster Manual (SRD),27.0,12.0,25.0,20.0,17.0,19.0,Piercing,1
ancient-gold-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-gold-dragon,24.0,dragon,Gargantuan,22,546,"fly, swim",lawful good,Legendary,Monster Manual (SRD),30.0,14.0,29.0,18.0,17.0,28.0,Piercing,1
ancient-green-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-green-dragon,22.0,dragon,Gargantuan,21,385,"fly, swim",lawful evil,Legendary,Monster Manual (SRD),27.0,12.0,25.0,20.0,17.0,19.0,Piercing,1
ancient-red-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-red-dragon,24.0,dragon,Gargantuan,22,546,fly,chaotic evil,Legendary,Monster Manual (SRD),30.0,10.0,29.0,18.0,15.0,23.0,Piercing,1
ancient-shadow,https://www.aidedd.org/dnd/monstres.php?vo=ancient-shadow,1.0,undead,Medium,13,32,,chaotic evil,,Extra (AideDD),6.0,16.0,14.0,6.0,10.0,8.0,Piercing,4
ancient-silver-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-silver-dragon,23.0,dragon,Gargantuan,22,487,fly,lawful good,Legendary,Monster Manual (SRD),30.0,10.0,29.0,18.0,15.0,23.0,Piercing,1
ancient-white-dragon,https://www.aidedd.org/dnd/monstres.php?vo=ancient-white-dragon,20.0,dragon,Gargantuan,20,333,"fly, swim",chaotic evil,Legendary,Monster Manual (SRD),26.0,10.0,26.0,10.0,13.0,14.0,Piercing,1
androsphinx,https://www.aidedd.org/dnd/monstres.php?vo=androsphinx,17.0,monstrosity,Large,17,199,fly,lawful neutral,Legendary,Monster Manual (SRD),22.0,10.0,20.0,16.0,18.0,23.0,Piercing,3
animated-armor,https://www.aidedd.org/dnd/monstres.php?vo=animated-armor,1.0,construct,Medium,18,33,,unaligned,,Monster Manual (SRD),14.0,11.0,13.0,1.0,3.0,1.0,Blunt,4
ankheg,https://www.aidedd.org/dnd/monstres.php?vo=ankheg,2.0,monstrosity,Large,14,39,,unaligned,,Monster Manual (SRD),17.0,11.0,13.0,1.0,13.0,6.0,Piercing,3
ankylosaurus,https://www.aidedd.org/dnd/monstres.php?vo=ankylosaurus,3.0,beast,Huge,15,68,,unaligned,,Monster Manual (SRD),19.0,11.0,15.0,2.0,12.0,5.0,Slashing,2
annis-hag,https://www.aidedd.org/dnd/monstres.php?vo=annis-hag,6.0,fey,Large,17,75,,chaotic evil,,Volo's Guide to Monsters,21.0,12.0,14.0,13.0,14.0,15.0,Ice,3
arcanaloth,,12.0,fiend (yugoloth),Medium,17,104,fly,neutral evil,,Monster Manual,,,,,,,Fire,4
archdruid,,12.0,humanoid (any race),Medium,16,132,,any alignment,,Volo's Guide to Monsters,,,,,,,Ice,4
archer,,3.0,humanoid (any race),Medium,16,75,,any alignment,,Volo's Guide to Monsters,,,,,,,Ice,4
archmage,https://www.aidedd.org/dnd/monstres.php?vo=archmage,12.0,humanoid (any race),Medium,12,99,,any alignment,,Monster Manual (SRD),10.0,14.0,12.0,20.0,15.0,16.0,Ice,4
armanite,,7.0,fiend (demon),Large,16,84,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,3
assassin,https://www.aidedd.org/dnd/monstres.php?vo=assassin,8.0,humanoid (any race),Medium,15,78,,any non-good alignment,,Monster Manual (SRD),11.0,16.0,14.0,13.0,11.0,10.0,Ice,4
assassin-vine,,3.0,plant,Large,13,85,,unaligned,,Adventures (Tomb of Annihilation),,,,,,,Ice,3
astral-dreadnought,https://www.aidedd.org/dnd/monstres.php?vo=astral-dreadnought,21.0,monstrosity (titan),Gargantuan,20,297,fly,unaligned,Legendary,Mordenkainen's Tome of Foes,28.0,7.0,25.0,5.0,14.0,18.0,Blunt,1
atropal,,13.0,undead (titan),Huge,7,225,fly,neutral evil,,Adventures (Tomb of Annihilation),,,,,,,Piercing,2
aurochs,https://www.aidedd.org/dnd/monstres.php?vo=aurochs,2.0,beast,Large,11,38,,unaligned,,Volo's Guide to Monsters,20.0,10.0,19.0,2.0,12.0,5.0,Slashing,3
autumn-eladrin,,10.0,fey (elf),Medium,19,127,,chaotic neutral,,Mordenkainen's Tome of Foes,,,,,,,Piercing,4
awakened-shrub,https://www.aidedd.org/dnd/monstres.php?vo=awakened-shrub,0.0,plant,Small,9,10,,unaligned,,Monster Manual (SRD),3.0,8.0,11.0,10.0,10.0,6.0,Ice,3
awakened-tree,https://www.aidedd.org/dnd/monstres.php?vo=awakened-tree,2.0,plant,Huge,13,59,,unaligned,,Monster Manual (SRD),19.0,6.0,15.0,10.0,10.0,7.0,Ice,2
azer,https://www.aidedd.org/dnd/monstres.php?vo=azer,2.0,elemental,Medium,17,39,,lawful neutral,,Monster Manual (SRD),17.0,12.0,15.0,12.0,13.0,10.0,Slashing,4
babau,,4.0,fiend (demon),Medium,16,82,,chaotic evil,,Volo's Guide to Monsters,,,,,,,Fire,4
baboon,https://www.aidedd.org/dnd/monstres.php?vo=baboon,0.0,beast,Small,12,3,,unaligned,,Monster Manual (SRD),8.0,14.0,11.0,4.0,12.0,6.0,Slashing,3
badger,https://www.aidedd.org/dnd/monstres.php?vo=badger,0.0,beast,Tiny,10,3,,unaligned,,Monster Manual (SRD),4.0,11.0,12.0,2.0,12.0,5.0,Slashing,2
bael,,19.0,fiend (devil),Large,18,189,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,3
balhannoth,,11.0,aberration,Large,17,114,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Piercing,3
balor,https://www.aidedd.org/dnd/monstres.php?vo=balor,19.0,fiend (demon),Huge,19,262,fly,chaotic evil,,Monster Manual (SRD),26.0,15.0,22.0,20.0,16.0,22.0,Fire,2
banderhobb,,5.0,monstrosity,Large,15,84,,neutral evil,,Volo's Guide to Monsters,,,,,,,Piercing,3
bandit-captain,https://www.aidedd.org/dnd/monstres.php?vo=bandit-captain,2.0,humanoid (any race),Medium,15,65,,any non-lawful alignment,,Monster Manual (SRD),15.0,16.0,14.0,14.0,11.0,14.0,Ice,4
banshee,https://www.aidedd.org/dnd/monstres.php?vo=banshee,4.0,undead,Medium,12,58,fly,chaotic evil,,Monster Manual (SRD),1.0,14.0,10.0,12.0,11.0,17.0,Piercing,4
baphomet,,23.0,fiend (demon),Huge,22,275,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,2
barbed-devil,https://www.aidedd.org/dnd/monstres.php?vo=barbed-devil,5.0,fiend (devil),Medium,15,110,,lawful evil,,Monster Manual (SRD),16.0,17.0,18.0,12.0,14.0,14.0,Fire,4
bard,,2.0,humanoid (any race),Medium,15,44,,any alignment,,Volo's Guide to Monsters,,,,,,,Ice,4
barghest,https://www.aidedd.org/dnd/monstres.php?vo=barghest,4.0,fiend (shapechanger),Large,17,90,,neutral evil,,Volo's Guide to Monsters,19.0,15.0,14.0,13.0,12.0,14.0,Fire,3
barlgura,https://www.aidedd.org/dnd/monstres.php?vo=barlgura,5.0,fiend (demon),Large,15,68,,chaotic evil,,Monster Manual (BR),18.0,15.0,16.0,7.0,14.0,9.0,Fire,3
basilisk,https://www.aidedd.org/dnd/monstres.php?vo=basilisk,3.0,monstrosity,Medium,15,52,,unaligned,,Monster Manual (SRD),16.0,8.0,15.0,2.0,8.0,7.0,Piercing,4
bat,https://www.aidedd.org/dnd/monstres.php?vo=bat,0.0,beast,Tiny,12,1,fly,unaligned,,Monster Manual (SRD),2.0,15.0,8.0,2.0,12.0,4.0,Slashing,2
bearded-devil,https://www.aidedd.org/dnd/monstres.php?vo=bearded-devil,3.0,fiend (devil),Medium,13,52,,lawful evil,,Monster Manual (SRD),16.0,15.0,15.0,9.0,11.0,11.0,Fire,4
behir,https://www.aidedd.org/dnd/monstres.php?vo=behir,11.0,monstrosity,Huge,17,168,,neutral evil,,Monster Manual (SRD),23.0,16.0,18.0,7.0,14.0,12.0,Piercing,2
beholder,,13.0,aberration,Large,18,180,fly,lawful evil,Legendary,Monster Manual,,,,,,,Piercing,3
beholder-zombie,,5.0,undead,Large,15,93,fly,neutral evil,,Monster Manual,,,,,,,Piercing,3
belaphoss,https://www.aidedd.org/dnd/monstres.php?vo=belaphoss,20.0,fiend (demon),Huge,19,262,fly,chaotic evil,,Extra (Dragon Mag),26.0,15.0,22.0,20.0,16.0,22.0,Fire,2
berbalang,,2.0,aberration,Medium,14,38,fly,neutral evil,,Mordenkainen's Tome of Foes,,,,,,,Piercing,4
berserker,https://www.aidedd.org/dnd/monstres.php?vo=berserker,2.0,humanoid (any race),Medium,13,67,,any chaotic alignment,,Monster Manual (SRD),16.0,12.0,17.0,9.0,11.0,9.0,Ice,4
bheur-hag,,7.0,fey,Medium,17,91,,chaotic evil,,Volo's Guide to Monsters,,,,,,,Ice,4
black-abishai,,7.0,fiend (devil),Medium,15,58,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,4
black-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=black-dragon-wyrmling,2.0,dragon,Medium,17,33,"fly, swim",chaotic evil,,Monster Manual (SRD),15.0,14.0,13.0,10.0,11.0,13.0,Piercing,4
black-gauntlet-of-bane,,6.0,humanoid (human),Medium,16,51,,lawful evil,,Adventures (Descent into Avernus),,,,,,,Ice,4
black-pudding,https://www.aidedd.org/dnd/monstres.php?vo=black-pudding,4.0,ooze,Large,7,85,,unaligned,,Monster Manual (SRD),16.0,5.0,16.0,1.0,6.0,1.0,Blunt,3
blackguard,,8.0,humanoid (any race),Medium,18,153,,any non-good alignment,,Volo's Guide to Monsters,,,,,,,Ice,4
blue-abishai,,17.0,fiend (devil),Medium,19,195,fly,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,4
blue-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=blue-dragon-wyrmling,3.0,dragon,Medium,17,52,fly,lawful evil,,Monster Manual (SRD),17.0,10.0,15.0,12.0,11.0,15.0,Piercing,4
blue-slaad,,7.0,aberration,Large,15,123,,chaotic neutral,,Monster Manual,,,,,,,Piercing,3
bodak,,6.0,undead,Medium,15,58,,chaotic evil,,Volo's Guide to Monsters,,,,,,,Piercing,4
bone-devil,https://www.aidedd.org/dnd/monstres.php?vo=bone-devil,9.0,fiend (devil),Large,19,142,fly,lawful evil,,Monster Manual (SRD),18.0,16.0,18.0,13.0,14.0,16.0,Fire,3
bone-naga,,4.0,undead,Large,15,58,,lawful evil,,Monster Manual,,,,,,,Piercing,3
boneclaw,,12.0,undead,Large,16,127,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Piercing,3
brass-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=brass-dragon-wyrmling,1.0,dragon,Medium,16,16,fly,chaotic good,,Monster Manual (SRD),15.0,10.0,13.0,10.0,11.0,13.0,Piercing,4
brontosaurus,,5.0,beast,Gargantuan,15,121,,unaligned,,Adventures (Tomb of Annihilation),,,,,,,Slashing,1
bronze-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=bronze-dragon-wyrmling,2.0,dragon,Medium,17,32,"fly, swim",lawful good,,Monster Manual (SRD),17.0,10.0,15.0,12.0,11.0,15.0,Piercing,4
brown-bear,https://www.aidedd.org/dnd/monstres.php?vo=brown-bear,1.0,beast,Large,11,34,,unaligned,,Monster Manual (SRD),19.0,10.0,16.0,2.0,13.0,7.0,Slashing,3
bugbear,https://www.aidedd.org/dnd/monstres.php?vo=bugbear,1.0,humanoid (goblinoid),Medium,16,27,,chaotic evil,,Monster Manual (SRD),15.0,14.0,13.0,8.0,11.0,9.0,Blunt,4
bugbear-chief,,3.0,humanoid (goblinoid),Medium,17,65,,chaotic evil,,Monster Manual,,,,,,,Blunt,4
bulette,https://www.aidedd.org/dnd/monstres.php?vo=bulette,5.0,monstrosity,Large,17,94,,unaligned,,Monster Manual (SRD),19.0,11.0,21.0,2.0,10.0,5.0,Piercing,3
bulezau,,3.0,fiend (demon),Medium,14,52,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,4
cadaver-collector,,14.0,construct,Large,17,189,,lawful evil,,Mordenkainen's Tome of Foes,,,,,,,Blunt,3
cambion,,5.0,fiend,Medium,19,82,fly,any evil alignment,,Monster Manual,,,,,,,Fire,4
canoloth,,8.0,fiend (yugoloth),Medium,16,120,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,4
carrion-crawler,,2.0,monstrosity,Large,13,51,,unaligned,,Monster Manual,,,,,,,Piercing,3
cat,https://www.aidedd.org/dnd/monstres.php?vo=cat,0.0,beast,Tiny,12,2,,unaligned,,Monster Manual (SRD),3.0,15.0,10.0,3.0,12.0,7.0,Slashing,2
catoblepas,,5.0,monstrosity,Large,14,84,,unaligned,,Volo's Guide to Monsters,,,,,,,Piercing,3
cave-fisher,,3.0,monstrosity,Medium,16,58,,unaligned,,Volo's Guide to Monsters,,,,,,,Piercing,4
centaur,https://www.aidedd.org/dnd/monstres.php?vo=centaur,2.0,monstrosity,Large,12,45,,neutral good,,Monster Manual (SRD),18.0,14.0,14.0,9.0,13.0,11.0,Piercing,3
chain-devil,https://www.aidedd.org/dnd/monstres.php?vo=chain-devil,8.0,fiend (devil),Medium,16,85,,lawful evil,,Monster Manual (SRD),18.0,15.0,18.0,11.0,12.0,14.0,Fire,4
champion,,9.0,humanoid (any race),Medium,18,143,,any alignment,,Volo's Guide to Monsters,,,,,,,Ice,4
chasme,,6.0,fiend (demon),Large,15,84,fly,chaotic evil,,Monster Manual,,,,,,,Fire,3
chimera,https://www.aidedd.org/dnd/monstres.php?vo=chimera,6.0,monstrosity,Large,14,114,fly,chaotic evil,,Monster Manual (SRD),19.0,11.0,19.0,3.0,14.0,10.0,Piercing,3
choker,,1.0,aberration,Small,16,13,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Piercing,3
choldrith,,3.0,monstrosity,Medium,15,66,,chaotic evil,,Volo's Guide to Monsters,,,,,,,Piercing,4
chuul,https://www.aidedd.org/dnd/monstres.php?vo=chuul,4.0,aberration,Large,16,93,swim,chaotic evil,,Monster Manual (SRD),19.0,10.0,16.0,5.0,11.0,5.0,Piercing,3
clay-golem,https://www.aidedd.org/dnd/monstres.php?vo=clay-golem,9.0,construct,Large,14,133,,unaligned,,Monster Manual (SRD),20.0,9.0,18.0,3.0,8.0,1.0,Blunt,3
cloaker,https://www.aidedd.org/dnd/monstres.php?vo=cloaker,8.0,aberration,Large,14,78,fly,chaotic neutral,,Monster Manual (SRD),17.0,15.0,12.0,13.0,12.0,14.0,Piercing,3
cloud-giant,https://www.aidedd.org/dnd/monstres.php?vo=cloud-giant,9.0,giant,Huge,14,200,,neutral good ,,Monster Manual (SRD),27.0,10.0,22.0,12.0,16.0,16.0,Blunt,2
cloud-giant-smiling-one,,11.0,giant (cloud giant),Huge,15,262,,chaotic neutral,,Volo's Guide to Monsters,,,,,,,Fire,2
commoner,https://www.aidedd.org/dnd/monstres.php?vo=commoner,0.0,humanoid (any race),Medium,10,4,,any alignment,,Monster Manual (SRD),10.0,10.0,10.0,10.0,10.0,10.0,Ice,4
conjurer,,6.0,humanoid (any race),Medium,12,40,,any alignment,,Volo's Guide to Monsters,,,,,,,Ice,4
copper-dragon-wyrmling,https://www.aidedd.org/dnd/monstres.php?vo=copper-dragon-wyrmling,1.0,dragon,Medium,16,22,fly,chaotic good,,Monster Manual (SRD),15.0,12.0,13.0,14.0,11.0,13.0,Piercing,4
corpse-flower,,8.0,plant,Large,12,127,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Ice,3
couatl,https://www.aidedd.org/dnd/monstres.php?vo=couatl,4.0,celestial,Medium,19,97,fly,lawful good,,Monster Manual (SRD),16.0,20.0,17.0,18.0,20.0,18.0,Fire,4
crab,https://www.aidedd.org/dnd/monstres.php?vo=crab,0.0,beast,Tiny,11,2,swim,unaligned,,Monster Manual (SRD),2.0,11.0,10.0,1.0,8.0,2.0,Slashing,2
crag-cat,,1.0,beast,Large,13,34,,unaligned,,Adventures (Storm King's Thunder),,,,,,,Slashing,3
cranium-rat,,0.0,beast,Tiny,12,2,,lawful evil,,Volo's Guide to Monsters,,,,,,,Slashing,2
crawling-claw,https://www.aidedd.org/dnd/monstres.php?vo=crawling-claw,0.0,undead,Tiny,12,2,,neutral evil,,Monster Manual (BR),13.0,14.0,11.0,5.0,10.0,4.0,Piercing,2
crokek-toeck,,14.0,fiend (demon),Gargantuan,15,297,swim,chaotic evil,,Adventures (Descent into Avernus),,,,,,,Fire,1
cult-fanatic,https://www.aidedd.org/dnd/monstres.php?vo=cult-fanatic,2.0,humanoid (any race),Medium,13,33,,any non-good alignment,,Monster Manual (SRD),11.0,14.0,12.0,10.0,13.0,14.0,Ice,4
cyclops,https://www.aidedd.org/dnd/monstres.php?vo=cyclops,6.0,giant,Huge,14,138,,chaotic neutral,,Monster Manual (SRD),22.0,11.0,20.0,8.0,6.0,10.0,Blunt,2
dao,https://www.aidedd.org/dnd/monstres.php?vo=dao,11.0,elemental,Large,18,187,fly,neutral evil,,Monster Manual (BR),23.0,12.0,24.0,12.0,13.0,14.0,Slashing,3
darkling-elder,,2.0,fey,Medium,15,27,,chaotic neutral,,Volo's Guide to Monsters,,,,,,,Ice,4
death-dog,https://www.aidedd.org/dnd/monstres.php?vo=death-dog,1.0,monstrosity,Medium,12,39,,neutral evil,,Monster Manual (SRD),15.0,14.0,14.0,3.0,13.0,6.0,Piercing,4
death-kiss,,10.0,aberration,Large,16,161,fly,neutral evil,,Volo's Guide to Monsters,,,,,,,Piercing,3
death-knight,,17.0,undead,Medium,20,180,,chaotic evil,,Monster Manual,,,,,,,Piercing,4
death-slaad,,10.0,aberration (shapechanger),Medium,18,170,,chaotic evil,,Monster Manual,,,,,,,Ice,4
death-tyrant,,14.0,undead,Large,19,187,fly,lawful evil,Legendary,Monster Manual,,,,,,,Piercing,3
death-s-head-of-bhaal,,5.0,humanoid (human),Medium,15,76,,chaotic evil,,Adventures (Descent into Avernus),,,,,,,Ice,4
deathlock,,4.0,undead,Medium,12,36,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,,Piercing,4
deathlock-mastermind,,8.0,undead,Medium,13,110,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,,Piercing,4
deathlock-wight,,3.0,undead,Medium,12,37,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,,Piercing,4
deep-scion,,3.0,humanoid (shapechanger),Medium,11,67,swim,neutral evil,,Volo's Guide to Monsters,,,,,,,Piercing,4
deer,https://www.aidedd.org/dnd/monstres.php?vo=deer,0.0,beast,Medium,13,4,,unaligned,,Monster Manual (SRD),11.0,16.0,11.0,2.0,14.0,5.0,Slashing,4
deinonychus,,1.0,beast,Medium,13,26,,unaligned,,Adventures (Tomb of Annihilation),,,,,,,Slashing,4
demilich,,18.0,undead,Tiny,20,80,fly,neutral evil,Legendary,Monster Manual,,,,,,,Piercing,2
demogorgon,,26.0,fiend (demon),Huge,22,406,swim,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,2
derro-savant,,3.0,humanoid (derro),Small,13,36,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Slashing,3
deva,https://www.aidedd.org/dnd/monstres.php?vo=deva,10.0,celestial,Medium,17,136,fly,lawful good,,Monster Manual (SRD),18.0,18.0,18.0,17.0,20.0,20.0,Fire,4
devilroot,https://www.aidedd.org/dnd/monstres.php?vo=devilroot,7.0,plant,Medium,15,105,,neutral evil,,Extra (AideDD),17.0,11.0,17.0,12.0,14.0,14.0,Ice,4
devourer,,13.0,fiend,Large,16,178,,chaotic evil,,Volo's Guide to Monsters,,,,,,,Fire,3
dhergoloth,,7.0,fiend (yugoloth),Medium,15,119,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,,Fire,4
dire-troll,,13.0,giant,Huge,15,172,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Blunt,2
dire-wolf,https://www.aidedd.org/dnd/monstres.php?vo=dire-wolf,1.0,beast,Large,14,37,,unaligned,,Monster Manual (SRD),17.0,15.0,15.0,3.0,12.0,7.0,Slashing,3
displacer-beast,,3.0,monstrosity,Large,13,85,,lawful evil,,Monster Manual,,,,,,,Piercing,3
diviner,,8.0,humanoid (any race),Medium,12,67,,any alignment,,Volo's Guide to Monsters,,,,,,,Ice,4
djinni,https://www.aidedd.org/dnd/monstres.php?vo=djinni,11.0,elemental,Large,17,161,fly,chaotic good,,Monster Manual (SRD),21.0,15.0,22.0,15.0,16.0,20.0,Slashing,3
doppelganger,https://www.aidedd.org/dnd/monstres.php?vo=doppelganger,3.0,monstrosity (shapechanger),Medium,14,52,,neutral,,Monster Manual (SRD),11.0,18.0,14.0,11.0,12.0,14.0,Blunt,4
draegloth,,7.0,fiend (demon),Large,15,123,,chaotic evil,,Volo's Guide to Monsters,,,,,,,Fire,3
dragon-turtle,https://www.aidedd.org/dnd/monstres.php?vo=dragon-turtle,17.0,dragon,Gargantuan,20,341,swim,neutral,,Monster Manual (SRD),25.0,10.0,20.0,10.0,12.0,12.0,Piercing,1
dragonbait,,5.0,humanoid (saurial),Medium,17,120,,lawful good,,Adventures (Tomb of Annihilation),,,,,,,Slashing,4
drider,https://www.aidedd.org/dnd/monstres.php?vo=drider,6.0,monstrosity,Large,19,123,,chaotic evil,,Monster Manual (SRD),16.0,16.0,18.0,13.0,14.0,12.0,Piercing,3
drow-arachnomancer,,13.0,humanoid (elf),Medium,15,162,,chaotic evil,,Mordenkainen's Tome of Foes,,,,,,,Slashing,4
drow-elite-warrior,,5.0,humanoid (elf),Medium,18,71,,neutral evil,,Monster Manual,,,,,,,Slashing,4
drow-favored-consort,,18.0,humanoid (elf),Medium,15,225,,neutral evil,,Mordenkainen's Tome of Foes,,,,,,,Slashing,4
drow-house-captain,https://www.aidedd.org/dnd/monstres.php?vo=drow-house-captain,9.0,humanoid (elf),Medium,16,162,,neutral evil,,Mordenkainen's Tome of Foes,14.0,19.0,15.0,12.0,14.0,13.0,Slashing,4
